session,ticks,round,pattern,phase,note_beat,input_beat,result,error_ms
20260921_113119,1,0,Pattern_01_Basic,PLAY,12.00,11.926,Perfect,-36.8
20260921_113119,1,0,Pattern_01_Basic,PLAY,14.00,13.974,Perfect,-12.8
20260921_113119,1,1,Pattern_02_Downbeat,PLAY,20.00,19.948,Perfect,-26.2
20260921_113119,1,1,Pattern_02_Downbeat,PLAY,21.00,20.886,Good,-56.8
20260921_113119,1,2,Pattern_03_Backbeat,PLAY,,28.012,Stray,
20260921_113119,1,2,Pattern_03_Backbeat,PLAY,29.00,28.908,Perfect,-46.2
20260921_113119,1,2,Pattern_03_Backbeat,PLAY,31.00,30.828,Good,-86.2
20260921_113119,1,3,Pattern_01_Basic,PLAY,36.00,35.948,Perfect,-26.2
20260921_113119,1,3,Pattern_01_Basic,PLAY,38.00,37.910,Perfect,-44.8
20260921_113119,1,4,Pattern_02_Downbeat,PLAY,44.00,44.012,Perfect,5.8
20260921_113119,1,4,Pattern_02_Downbeat,PLAY,45.00,44.908,Perfect,-46.2
20260921_113119,1,5,Pattern_03_Backbeat,PLAY,53.00,52.886,Good,-56.8
20260921_113119,1,5,Pattern_03_Backbeat,PLAY,55.00,54.849,Good,-75.5
20260921_113119,1,6,Pattern_01_Basic,PLAY,60.00,60.012,Perfect,5.8
20260921_113119,1,6,Pattern_01_Basic,PLAY,62.00,61.889,Good,-55.5
20260921_113119,1,7,Pattern_02_Downbeat,PLAY,68.00,67.948,Perfect,-26.2
20260921_113119,1,7,Pattern_02_Downbeat,PLAY,69.00,68.886,Good,-56.8
20260921_113119,1,8,Pattern_03_Backbeat,LISTEN,,75.926,Stray,
20260921_113119,1,8,Pattern_03_Backbeat,PLAY,77.00,76.865,Good,-67.5
20260921_113119,1,8,Pattern_03_Backbeat,PLAY,79.00,,Miss,
20260921_113119,1,9,Pattern_01_Basic,PLAY,84.00,83.905,Perfect,-47.5
20260921_113119,1,9,Pattern_01_Basic,PLAY,86.00,85.953,Perfect,-23.5
20260921_113119,1,10,Pattern_02_Downbeat,PLAY,92.00,91.926,Perfect,-36.8
20260921_113119,1,10,Pattern_02_Downbeat,PLAY,93.00,92.865,Good,-67.5
20260921_113119,1,11,Pattern_03_Backbeat,PLAY,101.00,100.972,Perfect,-14.2
20260921_113119,1,11,Pattern_03_Backbeat,PLAY,103.00,102.849,Good,-75.5
20260921_113119,1,12,Pattern_01_Basic,PLAY,108.00,107.884,Good,-58.2
20260921_113119,1,12,Pattern_01_Basic,PLAY,110.00,109.932,Perfect,-34.2
20260921_113119,1,13,Pattern_02_Downbeat,PLAY,116.00,115.948,Perfect,-26.2
20260921_113119,1,13,Pattern_02_Downbeat,PLAY,117.00,116.972,Perfect,-14.2
